gene_name,log2FoldChange.KO_Inf_8h_KO_Mock_8h,padj.KO_Inf_8h_KO_Mock_8h,diff.KO_Inf_8h_KO_Mock_8h,log2FoldChange.WT_Inf_8h_WT_Mock_8h,padj.WT_Inf_8h_WT_Mock_8h,diff.WT_Inf_8h_WT_Mock_8h,mean_KO_Inf_8h,mean_KO_Mock_8h,mean_WT_Inf_8h,mean_WT_Mock_8h
NBPF1,-0.473011262475459,9.72150203935652e-07,No,-0.393878265606976,0.000127112269659648,No,748.97054496346,1045.48807335488,674.523700885086,889.334176199832
CROCCP2,0.647021490181606,0.000210329851838098,No,0.38121660606453,0.0490252068003091,No,254.929553659212,159.142064229631,221.446245681082,168.571282286801
MST1P2,0.569073181005149,0.17215864538268,No,0.806759877211561,0.0370092391256023,No,21.360753931368,11.5430491514656,41.1272642081497,18.9067194631779
CROCC,0.147226994836277,0.198844327957232,No,0.0317022245484442,0.823842453989273,No,628.351316593007,566.178809295351,644.117068279517,629.638463707442
ATP13A2,-0.566643654020619,1.34277989356764e-14,No,-0.460186587897555,5.62890365935508e-09,No,955.690752283026,1420.45612677763,892.516035866008,1230.87517034228
SDHB,-0.162487664660444,0.0381671940396476,No,0.0464786714739411,0.626485766279771,No,1993.37834308508,2233.00567154545,2145.62504926707,2077.33139613295
PADI2,-0.362265357192658,0.459985516754761,No,-0.236440160797737,0.641575316477967,No,7.82867675893338,12.6578771613233,17.1485015236015,23.618107082149
RCC2,0.207899398683818,1.2001563096648e-07,No,0.222220063127147,3.64496626009527e-08,No,7754.10084396669,6710.48165307447,7313.20468809415,6270.50179488133
ARHGEF10L,0.2782141528517,0.30733869388932,No,0.343662092534227,0.185859942806089,No,102.745229847728,82.9344400385533,138.675844978109,107.144679106295
ACTL8,-0.931838964978807,2.25152694409377e-34,No,-0.583560916215146,1.30432465063985e-09,No,2083.73969679974,3999.43682512208,516.556165377834,779.976207211894
ALDH4A1,-0.566258200558711,8.69447200306579e-05,No,-0.479853999935837,0.00112507182139995,No,238.434145311176,357.960068933622,299.665781891621,420.745090428323
IFFO2,1.76370575439954,2.65675542612811e-49,Up,1.39732809563017,9.43307073108381e-37,Up,624.035063324466,177.849689923849,945.138496256774,352.871681998507
UBR4,0.419525296089827,0.00436272947870978,No,0.679724127797974,1.44012022253126e-06,No,5867.61399191163,4343.68992995777,6210.56261375148,3814.42243875457
